month,group,symptom,population_pct,within_group_pct
1,nausea_vomiting,nausea_vomiting,7.5673572609668325,100.0
1,nausea_vomiting,fatigue,3.910125474175664,51.670951156812336
1,nausea_vomiting,headaches,1.848069253963622,24.42159383033419
1,nausea_vomiting,sleep_problems,0.6614142593132963,8.740359897172237
1,nausea_vomiting,depression,0.7003209804493726,9.254498714652955
1,no_nausea_vomiting,no_nausea_vomiting,92.43264273903317,100.0
1,no_nausea_vomiting,fatigue,19.3366404046299,20.9197095654004
1,no_nausea_vomiting,headaches,19.686800894854585,21.298537304009262
1,no_nausea_vomiting,sleep_problems,2.0036961385079275,2.167736504261812
1,no_nausea_vomiting,depression,5.758194728139286,6.229611701567926
1,hospitalization,hospitalization,0.01945336056803813,100.0
1,hospitalization,fatigue,<10,<10
1,hospitalization,headaches,<10,<10
1,hospitalization,sleep_problems,<10,<10
1,hospitalization,depression,<10,<10
2,nausea_vomiting,nausea_vomiting,24.530687676296083,100.0
2,nausea_vomiting,fatigue,15.873942223519114,64.71054718477399
2,nausea_vomiting,headaches,6.283435463476315,25.614591593973035
2,nausea_vomiting,sleep_problems,2.266316506176442,9.238699444885013
2,nausea_vomiting,depression,2.0426028596440036,8.326724821570181
2,no_nausea_vomiting,no_nausea_vomiting,75.46931232370392,100.0
2,no_nausea_vomiting,fatigue,38.35230035988717,50.81840443356103
2,no_nausea_vomiting,headaches,15.251434685341895,20.208789792499033
2,no_nausea_vomiting,sleep_problems,3.987938916447816,5.284186106457018
2,no_nausea_vomiting,depression,4.4159128489446555,5.851269493491429
2,hospitalization,hospitalization,0.40852057192880076,100.0
2,hospitalization,fatigue,0.16535356482832408,40.476190476190474
2,hospitalization,headaches,0.08754012255617158,21.428571428571427
2,hospitalization,sleep_problems,0.048633401420095326,11.904761904761903
2,hospitalization,depression,0.048633401420095326,11.904761904761903
3,nausea_vomiting,nausea_vomiting,26.553837175372045,100.0
3,nausea_vomiting,fatigue,17.099503939305517,64.3956043956044
3,nausea_vomiting,headaches,6.7405894368252115,25.384615384615383
3,nausea_vomiting,sleep_problems,3.316797976850501,12.49084249084249
3,nausea_vomiting,depression,2.1690497033362512,8.168498168498168
